group_evaluated,total_points,mean_points,gt_lies,gt_half_truths,gt_truths,mean_points_check,bfi2_e,bfi2_a,bfi2_c,bfi2_n,bfi2_o,bfi2_e_sociability,bfi2_e_assertiveness,bfi2_e_energy_level,bfi2_a_compassion,bfi2_a_respectfulness,bfi2_a_trust,bfi2_c_organization,bfi2_c_productiveness,bfi2_c_responsibility,bfi2_n_anxiety,bfi2_n_depression,bfi2_n_emotional_volatility,bfi2_o_intellectual_curiosity,bfi2_o_aesthetic_sensitivity,bfi2_o_creative_imagination,bfi1_evaluated,bfi2_evaluated,rbfi3_evaluated,rbfi4_evaluated,rbfi5_evaluated,bfi6_evaluated,bfi7_evaluated,rbfi8_evaluated,rbfi9_evaluated,bfi10_evaluated,rbfi11_evaluated,rbfi12_evaluated,bfi13_evaluated,bfi14_evaluated,bfi15_evaluated,rbfi16_evaluated,rbfi17_evaluated,bfi18_evaluated,bfi19_evaluated,bfi20_evaluated,bfi21_evaluated,rbfi22_evaluated,rbfi23_evaluated,rbfi24_evaluated,rbfi25_evaluated,rbfi26_evaluated,bfi27_evaluated,rbfi28_evaluated,rbfi29_evaluated,rbfi30_evaluated,rbfi31_evaluated,bfi32_evaluated,bfi33_evaluated,bfi34_evaluated,bfi35_evaluated,rbfi36_evaluated,rbfi37_evaluated,bfi38_evaluated,bfi39_evaluated,bfi40_evaluated,bfi41_evaluated,rbfi42_evaluated,bfi43_evaluated,rbfi44_evaluated,rbfi45_evaluated,bfi46_evaluated,rbfi47_evaluated,rbfi48_evaluated,rbfi49_evaluated,rbfi50_evaluated,rbfi51_evaluated,bfi52_evaluated,bfi53_evaluated,bfi54_evaluated,rbfi55_evaluated,bfi56_evaluated,bfi57_evaluated,rbfi58_evaluated,bfi59_evaluated,bfi60_evaluated,bfi1_gt,bfi2_gt,rbfi3_gt,rbfi4_gt,rbfi5_gt,bfi6_gt,bfi7_gt,rbfi8_gt,rbfi9_gt,bfi10_gt,rbfi11_gt,rbfi12_gt,bfi13_gt,bfi14_gt,bfi15_gt,rbfi16_gt,rbfi17_gt,bfi18_gt,bfi19_gt,bfi20_gt,bfi21_gt,rbfi22_gt,rbfi23_gt,rbfi24_gt,rbfi25_gt,rbfi26_gt,bfi27_gt,rbfi28_gt,rbfi29_gt,rbfi30_gt,rbfi31_gt,bfi32_gt,bfi33_gt,bfi34_gt,bfi35_gt,rbfi36_gt,rbfi37_gt,bfi38_gt,bfi39_gt,bfi40_gt,bfi41_gt,rbfi42_gt,bfi43_gt,rbfi44_gt,rbfi45_gt,bfi46_gt,rbfi47_gt,rbfi48_gt,rbfi49_gt,rbfi50_gt,rbfi51_gt,bfi52_gt,bfi53_gt,bfi54_gt,rbfi55_gt,bfi56_gt,bfi57_gt,rbfi58_gt,bfi59_gt,bfi60_gt,Submitted,encoded,bfi1_extracted,bfi2_extracted,rbfi3_extracted,rbfi4_extracted,rbfi5_extracted,bfi6_extracted,bfi7_extracted,rbfi8_extracted,rbfi9_extracted,bfi10_extracted,rbfi11_extracted,rbfi12_extracted,bfi13_extracted,bfi14_extracted,bfi15_extracted,rbfi16_extracted,rbfi17_extracted,bfi18_extracted,bfi19_extracted,bfi20_extracted,bfi21_extracted,rbfi22_extracted,rbfi23_extracted,rbfi24_extracted,rbfi25_extracted,rbfi26_extracted,bfi27_extracted,rbfi28_extracted,rbfi29_extracted,rbfi30_extracted,rbfi31_extracted,bfi32_extracted,bfi33_extracted,bfi34_extracted,bfi35_extracted,rbfi36_extracted,rbfi37_extracted,bfi38_extracted,bfi39_extracted,bfi40_extracted,bfi41_extracted,rbfi42_extracted,bfi43_extracted,rbfi44_extracted,rbfi45_extracted,bfi46_extracted,rbfi47_extracted,rbfi48_extracted,rbfi49_extracted,rbfi50_extracted,rbfi51_extracted,bfi52_extracted,bfi53_extracted,bfi54_extracted,rbfi55_extracted,bfi56_extracted,bfi57_extracted,rbfi58_extracted,bfi59_extracted,bfi60_extracted,order,group_extracted
FG,220,3.6666666666666665,17,8,35,3.6666666666666665,4.083333333333333,4.0,4.0,2.4166666666666665,3.8333333333333335,4.25,4.0,4.0,4.25,4.25,3.5,4.0,4.0,4.0,3.0,2.0,2.25,4.0,3.5,4.0,5,5,4,2,4,4,5,4,2,4,4,3,4,2,4,4,4,4,2,3,4,4,4,2,4,4,5,4,3,4,4,4,4,4,3,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,2023-12-21 13:58:19.150346600,554244542443424444234442445434444434442442424444444442444424,5,5,4,2,4,4,5,4,2,4,4,3,4,2,4,4,4,4,2,3,4,4,4,2,4,4,5,4,3,4,4,4,4,4,3,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,104,FG
FG,224,3.733333333333333,0,0,60,3.733333333333333,3.5,4.5,5.0,2.833333333333333,2.833333333333333,4.5,1.5,4.5,5.0,5.0,3.5,5.0,5.0,5.0,3.5,1.75,3.25,3.75,2.0,2.75,4,5,5,3,2,3,5,5,4,5,5,3,5,1,3,4,5,5,3,4,1,5,5,1,3,5,3,5,4,2,5,5,5,4,1,1,5,5,1,4,3,3,5,4,3,5,5,5,4,1,1,5,5,1,3,5,5,5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-21 14:11:59.011450700,455323554553513455341551353542555411551433543555411551355543,4,5,5,3,2,3,5,5,4,5,5,3,5,1,3,4,5,5,3,4,1,5,5,1,3,5,3,5,4,2,5,5,5,4,1,1,5,5,1,4,3,3,5,4,3,5,5,5,4,1,1,5,5,1,3,5,5,5,4,3,105,FG
FG,226,3.7666666666666666,0,16,44,3.766666666666667,4.0,4.333333333333333,4.666666666666667,1.0833333333333333,4.75,3.75,3.75,4.5,3.75,5.0,4.25,4.25,5.0,4.75,1.25,1.0,1.0,5.0,4.75,4.5,5,3,4,1,4,4,5,5,1,5,5,5,5,1,4,4,3,4,1,5,3,5,5,1,5,4,3,4,1,5,3,5,4,1,5,5,5,5,1,5,4,4,5,1,5,3,4,5,2,5,3,5,5,1,5,5,5,5,1,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2023-12-22 10:27:24.248711600,534144551555514434153551543415354155551544515345253551555514,5,3,4,1,4,4,5,5,1,5,5,5,5,1,4,4,3,4,1,5,3,5,5,1,5,4,3,4,1,5,3,5,4,1,5,5,5,5,1,5,4,4,5,1,5,3,4,5,2,5,3,5,5,1,5,5,5,5,1,4,106,FG
FG,219,3.65,10,19,31,3.65,3.6666666666666665,4.666666666666667,4.666666666666667,1.5,3.75,4.0,3.0,4.0,4.75,4.75,4.5,4.5,4.75,4.75,2.25,1.0,1.25,4.25,4.0,3.0,4,5,4,1,2,3,5,5,1,4,4,5,4,1,3,4,5,5,2,4,3,5,4,1,5,4,4,5,1,3,4,5,4,2,5,3,5,5,1,4,4,4,5,2,4,4,4,5,4,5,3,4,5,1,4,4,5,5,1,2,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,2024-01-25 12:55:24.930914500,454123551445413455243541544513454253551444524445453451445512,4,5,4,1,2,3,5,5,1,4,4,5,4,1,3,4,5,5,2,4,3,5,4,1,5,4,4,5,1,3,4,5,4,2,5,3,5,5,1,4,4,4,5,2,4,4,4,5,4,5,3,4,5,1,4,4,5,5,1,2,9,FG
FG,241,4.016666666666667,8,25,27,4.016666666666668,4.416666666666667,4.583333333333333,4.916666666666667,1.8333333333333333,4.333333333333333,4.5,4.0,4.75,4.5,4.75,4.5,5.0,5.0,4.75,2.25,1.5,1.75,3.75,4.75,4.5,5,4,5,1,5,4,4,5,1,4,5,5,4,1,4,4,5,5,1,5,4,5,5,1,4,4,4,5,2,5,5,4,5,3,5,4,5,5,2,3,5,4,5,2,4,4,5,5,4,4,4,5,5,2,4,5,5,5,2,5,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2024-01-25 13:04:52.439095600,545154451455414455154551444525545354552354524455444552455525,5,4,5,1,5,4,4,5,1,4,5,5,4,1,4,4,5,5,1,5,4,5,5,1,4,4,4,5,2,5,5,4,5,3,5,4,5,5,2,3,5,4,5,2,4,4,5,5,4,4,4,5,5,2,4,5,5,5,2,5,12,FG
FG,201,3.35,0,2,58,3.35,2.833333333333333,4.333333333333333,4.166666666666667,2.1666666666666665,3.25,2.25,2.75,3.5,4.5,4.5,4.0,4.0,4.5,4.0,2.25,2.25,2.0,3.25,3.0,3.5,3,5,4,2,3,2,5,5,2,4,4,4,4,2,3,2,4,4,2,3,4,4,4,2,2,4,4,4,2,4,2,4,4,2,3,3,5,4,3,4,4,4,4,2,3,2,5,4,3,3,2,4,5,2,3,2,4,4,2,4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-25 13:49:26.016412200,354232552444423244234442244424244233543444423254332452324424,3,5,4,2,3,2,5,5,2,4,4,4,4,2,3,2,4,4,2,3,4,4,4,2,2,4,4,4,2,4,2,4,4,2,3,3,5,4,3,4,4,4,4,2,3,2,5,4,3,3,2,4,5,2,3,2,4,4,2,4,15,FG
FG,227,3.783333333333333,2,31,27,3.7833333333333328,4.333333333333333,4.166666666666667,4.833333333333333,1.5,4.083333333333333,4.25,4.25,4.5,4.25,4.5,3.75,4.75,5.0,4.75,1.75,1.5,1.25,4.0,3.75,4.5,5,4,5,1,2,5,5,5,2,5,5,4,5,1,5,4,5,4,3,5,4,5,5,2,1,4,4,5,2,4,4,4,5,1,4,4,4,5,1,5,4,4,4,1,5,4,4,5,2,4,4,4,5,1,5,5,3,5,1,4,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,2024-01-25 14:21:32.263667800,545125552554515454354552144524445144451544415445244451553514,5,4,5,1,2,5,5,5,2,5,5,4,5,1,5,4,5,4,3,5,4,5,5,2,1,4,4,5,2,4,4,4,5,1,4,4,4,5,1,5,4,4,4,1,5,4,4,5,2,4,4,4,5,1,5,5,3,5,1,4,16,FG
FG,197,3.283333333333333,1,2,57,3.2833333333333337,2.9166666666666665,4.5,4.083333333333333,1.8333333333333333,3.083333333333333,3.5,2.5,2.75,5.0,5.0,3.5,4.25,4.0,4.0,1.75,2.0,1.75,2.75,2.25,4.25,4,5,3,1,2,3,5,3,1,5,2,3,5,3,5,3,5,4,1,2,2,5,3,1,2,1,4,3,1,5,3,5,5,2,3,3,5,5,3,2,3,2,5,1,3,4,5,5,3,2,2,5,5,3,2,5,5,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,2024-01-25 15:41:56.969352600,453123531523535354122531214315355233553232513455322553255324,4,5,3,1,2,3,5,3,1,5,2,3,5,3,5,3,5,4,1,2,2,5,3,1,2,1,4,3,1,5,3,5,5,2,3,3,5,5,3,2,3,2,5,1,3,4,5,5,3,2,2,5,5,3,2,5,5,3,2,4,18,FG
FG,223,3.716666666666667,0,4,56,3.7166666666666655,3.6666666666666665,4.0,4.083333333333333,2.25,4.583333333333333,3.5,3.5,4.0,4.25,4.25,3.5,4.0,4.0,4.25,2.5,2.25,2.0,4.75,4.25,4.75,4,5,4,2,5,4,5,4,2,5,4,3,5,2,4,4,5,4,2,4,3,5,4,3,5,4,4,4,2,5,2,4,4,2,4,3,3,4,2,4,4,3,4,2,5,4,3,4,4,4,4,4,4,2,5,4,4,4,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-29 15:21:36.293310400,454254542543524454243543544425244243342443425434444442544425,4,5,4,2,5,4,5,4,2,5,4,3,5,2,4,4,5,4,2,4,3,5,4,3,5,4,4,4,2,5,2,4,4,2,4,3,3,4,2,4,4,3,4,2,5,4,3,4,4,4,4,4,4,2,5,4,4,4,2,5,21,FG
FG,233,3.883333333333333,0,0,60,3.8833333333333337,4.0,4.166666666666667,4.5,2.1666666666666665,4.583333333333333,3.5,4.25,4.25,4.5,5.0,3.0,3.75,4.75,5.0,3.25,1.75,1.5,5.0,4.0,4.75,4,4,3,2,4,3,5,5,2,5,5,5,5,1,4,3,5,3,3,3,4,5,5,2,5,4,2,5,2,5,2,4,4,4,4,5,5,4,2,5,3,3,5,2,5,5,5,5,4,5,5,5,5,1,5,5,2,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-29 15:27:59.505899500,443243552555514353334552542525244445542533525555455551552515,4,4,3,2,4,3,5,5,2,5,5,5,5,1,4,3,5,3,3,3,4,5,5,2,5,4,2,5,2,5,2,4,4,4,4,5,5,4,2,5,3,3,5,2,5,5,5,5,4,5,5,5,5,1,5,5,2,5,1,5,22,FG
FG,212,3.533333333333333,3,24,33,3.5333333333333328,3.9166666666666665,3.6666666666666665,4.416666666666667,1.9166666666666667,3.75,3.25,3.75,4.75,4.25,3.75,3.0,4.25,4.0,5.0,1.75,2.0,2.0,3.5,4.0,3.75,4,5,4,1,3,4,5,4,1,4,5,2,5,4,3,3,2,3,2,5,4,2,3,4,3,4,3,5,1,4,2,5,5,2,3,4,3,4,2,4,5,3,5,2,4,4,5,5,2,5,3,5,5,1,3,5,4,5,1,4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,2024-01-29 15:46:19.949530400,454134541452543323254234343514255234342453524455253551354514,4,5,4,1,3,4,5,4,1,4,5,2,5,4,3,3,2,3,2,5,4,2,3,4,3,4,3,5,1,4,2,5,5,2,3,4,3,4,2,4,5,3,5,2,4,4,5,5,2,5,3,5,5,1,3,5,4,5,1,4,25,FG
FG,234,3.9,0,2,58,3.9,2.9166666666666665,4.666666666666667,4.416666666666667,3.5,4.0,3.0,1.75,4.0,4.75,5.0,4.25,4.75,4.25,4.25,4.0,3.25,3.25,4.25,4.25,3.5,4,5,5,3,4,2,5,4,4,4,5,4,4,3,3,2,5,4,4,4,1,5,5,2,4,3,5,4,4,4,2,4,5,5,4,2,5,4,4,5,4,4,4,2,4,4,5,5,4,5,2,5,4,3,4,4,4,5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-29 15:57:35.812171600,455342544454433254441552435444245542544544424455452543444543,4,5,5,3,4,2,5,4,4,4,5,4,4,3,3,2,5,4,4,4,1,5,5,2,4,3,5,4,4,4,2,4,5,5,4,2,5,4,4,5,4,4,4,2,4,4,5,5,4,5,2,5,4,3,4,4,4,5,4,3,26,FG
FG,224,3.733333333333333,0,5,55,3.733333333333333,3.8333333333333335,4.5,4.333333333333333,1.75,4.25,3.25,4.0,4.25,4.25,4.75,4.5,4.25,4.25,4.5,2.0,2.0,1.25,4.25,4.0,4.5,4,4,4,2,4,3,5,5,2,5,5,5,4,1,4,3,4,4,2,4,4,5,4,2,4,4,4,4,1,5,3,4,4,2,4,5,5,4,2,4,4,5,5,2,5,3,5,5,2,4,4,4,4,2,4,4,4,5,1,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2024-01-30 10:36:10.914360800,444243552555414344244542444415344245542445525355244442444514,4,4,4,2,4,3,5,5,2,5,5,5,4,1,4,3,4,4,2,4,4,5,4,2,4,4,4,4,1,5,3,4,4,2,4,5,5,4,2,4,4,5,5,2,5,3,5,5,2,4,4,4,4,2,4,4,4,5,1,4,31,FG
